profile,variant,precision_at_k,macro_dev_mean_pct,total_cost_usd,within_budget,waste_fraction
Body Recomp,V1 Baseline,0.0,75.61,0.75,True,0.0
Body Recomp,V2 RAG,0.2,20.92,1.85,True,0.0
Body Recomp,V3 RAG+Rerank,0.6,38.25,3.22,True,0.0
Muscle Bulk,V1 Baseline,0.0,71.24,0.41,True,0.0
Muscle Bulk,V2 RAG,0.2,40.02,1.65,True,0.0
Muscle Bulk,V3 RAG+Rerank,0.2,18.63,2.53,True,0.0
Vegetarian Weight Loss,V1 Baseline,0.0,97.69,0.08,True,0.0
Vegetarian Weight Loss,V2 RAG,0.2,60.67,0.92,True,0.0
Vegetarian Weight Loss,V3 RAG+Rerank,1.0,85.49,1.94,True,0.0
Budget Meal Prep,V1 Baseline,0.0,72.65,0.68,True,0.0
Budget Meal Prep,V2 RAG,0.2,26.16,2.43,True,0.0
Budget Meal Prep,V3 RAG+Rerank,0.6,84.92,2.31,True,0.0
Keto / Low Carb,V1 Baseline,0.0,70.55,0.68,True,0.0
Keto / Low Carb,V2 RAG,0.6,45.59,2.66,True,0.0
Keto / Low Carb,V3 RAG+Rerank,1.0,38.83,4.56,True,0.0
